#,Question,Ground_Truth (condensed),Matches_Our_Model,Reason
27,Dimensions of window GUID 0otfaO0qPDAhynjJ6DmgH8?,"H 1.735 m, W 1.0 m",YES,"Window node: Width=1.0, Height=1.735 exact."
28,Which rooms are connected to 1B07?,Only 1BC2 (corridor),PARTIAL,Door-connectivity (BOUNDED_BY+HAS_OPENING+FILLS) returns 1BC2 plus 4 extras -> over-returns. 1BC2 found; query needs tightening.
29,Which rooms are adjacent to 1B07?,"1B09, 1BC2, 1B05, 1B04",PARTIAL,"Shared-bounding-wall query returns all 4 GT rooms + 4 extras (1AC1,1B01,1B03,1B11). Superset; data present, over-returns."
30,Size of tech office on second floor?,2D18 = 84.8 sqm,YES,space 2D18 'TECH. OFFICE' Area = 84.8 sqm exact.
31,How many windows in the building?,58,YES,count(IfcWindow) = 58. Windows not duplicated by merge.
32,How many doors in the building?,254,YES,count(IfcDoor) = 254.
33,Where are scanning equipments located?,6 Scanning/Imaging rooms,PARTIAL,"OmniClass 'Scanning/Imaging Room' = 12 raw -> 6 deduped, matches GT's 6 rooms. Equipment itself (furniture) not located; GT located rooms."
34,Expected lifespan of roofing material?,"Not specified; EPDM, 25-30 yr",PARTIAL,"Roof material 'Roofing - EPDM Membrane' present in graph. Lifespan = external knowledge, not in model."
35,Total gross floor area?,~4574 sqm (est.),NO,GSA_BIM_Area sum corrupted by duplication + roof spaces (raw 11154). 4574 not reproducible cleanly.
36,Total usable floor area (UFA)?,2981.73 sqm,NO,No explicit UFA property; areas dup-corrupted. Exact 2981.73 comes from a source not in our graph.
37,Total gross floor area (GFA)?,~5077 sqm (est.),NO,No GFA property; aggregates unreliable due to merge dup. GT itself estimated (and inconsistent with Q35).
38,Ratio UFA : GFA?,~0.58,NO,"Derived from UFA/GFA, both unreproducible here."
39,Fire rating of walls between treatment rooms?,Not available in model,PARTIAL,"We DO have wall.FireRating ('1 HR'/'2 HR'), treatment rooms (TRMT) and BOUNDED_BY -> potentially answerable, diverging from GT. Depends on the two TRMT rooms sharing a wall."
40,Breakdown of steel column types + dimensions?,W150X22.5 + W250X67 (full dims),YES,Both sections present with matching dims: W150 d152/bf152/tw5.8/tf6.6; W250 d257/bf204/tw8.9/tf15.7 mm.
41,Structural concept of the building?,Steel frame + concrete slabs,NO,"Narrative/reasoning answer, not a graph query (though steel columns + concrete slabs are present as evidence)."
42,What are the foundations made of?,Cast-in-place reinforced concrete,YES,IfcFooting Material = 'Concrete - Cast In Situ'; Rebar_Cover props present ('reinforced' implied).
43,Volume of concrete for the foundation?,167.61 m3,NO,"Sum of IfcFooting.Volume in our graph = 60.05 m3, not 167.61. Value mismatch (merge dropped/changed footing quantities)."
